RDA label,RDA IRI,pseudo-Turtle,Kiegel syntax
is errata to expression RDA 24.5,http://rdaregistry.info/Elements/e/P20146,"bf:accompanies <P20146value> .
# with literal value
bf:accompanies [ a bf:Work ;
   rdfs:label ""P20146value"" ] .","accompanies*
or
accompanies >> Work > rdfs:label"
is guide to expression RDA 24.5,http://rdaregistry.info/Elements/e/P20147,"bf:accompanies <P20147value> .
# with literal value
bf:accompanies [ a bf:Work ;
   rdfs:label ""P20147value"" ] .","accompanies*
or
accompanies >> Work > rdfs:label"
is illustrations for expression RDA 24.5,http://rdaregistry.info/Elements/e/P20148,"bf:accompanies <P20148value> .
# with literal value
bf:accompanies [ a bf:Work ;
   rdfs:label ""P20148value"" ] .","accompanies*
or
accompanies >> Work > rdfs:label"
is continuation of expression RDA 24.5,http://rdaregistry.info/Elements/e/P20149,"bf:continues <P20149value> .
# with literal value
bf:continues [ a bf:Work ;
   rdfs:label ""P20149value"" ] .","continues*
or
continues >> Work > rdfs:label"
is supplement to expression RDA 24.5,http://rdaregistry.info/Elements/e/P20151,"bf:supplementTo <P20151value> .
# with literal value
bf:supplementTo [ a bf:Work ;
   rdfs:label ""P20151value"" ] .","supplementTo*
or
supplementTo >> Work > rdfs:label"
is adaptation of expression RDA 24.5,http://rdaregistry.info/Elements/e/P20152,"bf:derivativeOf <P20152value> .
# with literal value
bf:derivativeOf [a bf:Work;
   rdfs:label ""P20152value"" ] .","derivativeOf*
or
derivativeOf >> Work > rdfs:label"
is adapted as expression RDA 24.5,http://rdaregistry.info/Elements/e/P20153,"bf:hasDerivative <P20153value> .
# with literal value
bf:hasDerivative [ a bf:Work ;
    rdfs:label ""P20153value"" ] .","hasDerivative*
or
hasDerivative >> Work > rdfs:label"
is preceded by expression RDA 24.5,http://rdaregistry.info/Elements/e/P20154,"bf:precededBy <P20154value> .
# with literal value
bf:precededBy [ a bf:Work ;
   rdfs:label ""P20154value"" ] .","precededBy*
or
precededBy >> Work > rdfs:label"
has finding aid expression RDA 24.5,http://rdaregistry.info/Elements/e/P20155,"bf:findingAid <P20155value> .
# with literal value
bf:findingAid [ a bf:Work ;
   rdfs:label ""P20155value"" ] .","findingAid*
or
findingAid >> Work > rdfs:label"
has index expression RDA 24.5,http://rdaregistry.info/Elements/e/P20156,"bf:index <P20156value> .
# with literal value
bf:index [ a bf:Work ;
   rdfs:label ""P20156value"" ] .","index*
or
index >> Work > rdfs:label"
has screenplay expression RDA 24.5,http://rdaregistry.info/Elements/e/P20157,"bf:accompaniedBy <P20157value> .
# with literal value
bf:accompaniedBy [ a bf:Work ;
   rdfs:label ""P20157value"" ] .","accompaniedBy*
or
accompaniedBy >> Work > rdfs:label"
has motion picture screenplay expression RDA 24.5,http://rdaregistry.info/Elements/e/P20158,"bf:accompaniedBy <P20158value> .
# with literal value
bf:accompaniedBy [ a bf:Work ;
   rdfs:label ""P20158value"" ] .","accompaniedBy*
or
accompaniedBy >> Work > rdfs:label"
is musical setting of expression RDA 24.5,http://rdaregistry.info/Elements/e/P20159,"bf:derivativeOf <P20159value> .
# with literal value
bf:derivativeOf [a bf:Work;
   rdfs:label ""P20159value"" ] .","derivativeOf*
or
derivativeOf >> Work > rdfs:label"
has radio script expression RDA 24.5,http://rdaregistry.info/Elements/e/P20160,"bf:accompaniedBy <P20160value> .
# with literal value
bf:accompaniedBy [ a bf:Work ;
   rdfs:label ""P20160value"" ] .","accompaniedBy*
or
accompaniedBy >> Work > rdfs:label"
