RDA label,RDA IRI,pseudo-Turtle,Kiegel syntax
is screenplay for work (RDA 24.5),http://rdaregistry.info/Elements/w/P10105,"bf:accompanies <P10105value> .
# with literal value
bf:accompanies [ a bf:Work ;
rdfs:label ""P10105value"" ] .","accompanies*
or
accompanies >> Work > rdfs:label
"
is incidental music for work (RDA 24.5),http://rdaregistry.info/Elements/w/P10106,"bf:accompanies <P10106value> .
# with literal value
bf:accompanies [ a bf:Work ;
rdfs:label ""P10106value"" ] .","accompanies*
or
accompanies >> Work > rdfs:label
"
is abstracted as work (RDA 24.5),http://rdaregistry.info/Elements/w/P10107,"bf:hasDerivative <P10107value> .
# with literal value
bf:hasDerivative [ a bf:Work ;
    rdfs:label ""P10107value"" ] .","hasDerivative*
or
hasDerivative >> Work > rdfs:label
"
is augmented by work (RDA 24.5),http://rdaregistry.info/Elements/w/P10108,"bf:accompaniedBy <P10108value> .
# with literal value
bf:accompaniedBy [ a bf:Work ;
    rdfs:label ""P10108value"" ] .","accompaniedBy*
or
accompaniedBy >> Work > rdfs:label
"
is summarized as work (RDA 24.5),http://rdaregistry.info/Elements/w/P10109,"bf:hasDerivative <P10109value> .
# with literal value
bf:hasDerivative [ a bf:Work ;
rdfs:label ""P10109value"" ] .","hasDerivative*
or
hasDerivative >> Work > rdfs:label
"
has catalogue work (RDA 24.5),http://rdaregistry.info/Elements/w/P10110,"bf:accompaniedBy <P10110value> .
# with literal value
bf:accompaniedBy [ a bf:Work ;
rdfs:label ""P10110value"" ] .","accompaniedBy*
or
accompaniedBy >> Work > rdfs:label
"
has concordance work (RDA 24.5),http://rdaregistry.info/Elements/w/P10111,"bf:accompaniedBy <P10111value> .
# with literal value
bf:accompaniedBy [ a bf:Work ;
rdfs:label ""P10111value"" ] .","accompaniedBy*
or
accompaniedBy >> Work > rdfs:label
"
has addenda work (RDA 24.5),http://rdaregistry.info/Elements/w/P10112,"bf:accompaniedBy <P10112value> .
# with literal value
bf:accompaniedBy [ a bf:Work ;
    rdfs:label ""P10112value"" ] .","accompaniedBy*
or
accompaniedBy >> Work > rdfs:label
"
is adapted as libretto work (RDA 24.5),http://rdaregistry.info/Elements/w/P10113,"bf:hasDerivative <P10113value> .
# with literal value
bf:hasDerivative [ a bf:Work ;
    rdfs:label ""P10113value"" ] .","hasDerivative*
or
hasDerivative >> Work > rdfs:label
"
is work reviewed in (RDA 23.5),http://rdaregistry.info/Elements/w/P10114,"bf:referencedBy <P10114value> .
# with literal value
bf:referencedBy [ a bf:Work ;
   rdfs:label ""P10114value"" ] .","referencedBy*
or
referencedBy >> Work > rdfs:label"
is work critiqued in (RDA 23.5),http://rdaregistry.info/Elements/w/P10115,"bf:referencedBy <P10115value> .
# with literal value
bf:referencedBy [ a bf:Work ;
   rdfs:label ""P10115value"" ] .","referencedBy*
or
referencedBy >> Work > rdfs:label"
is work commentary in (RDA 23.5),http://rdaregistry.info/Elements/w/P10116,"bf:referencedBy <P10116value> .
# with literal value
bf:referencedBy [ a bf:Work ;
   rdfs:label ""P10116value"" ] .","referencedBy*
or
referencedBy >> Work > rdfs:label"
is imitated as work (RDA 24.5),http://rdaregistry.info/Elements/w/P10117,"bf:hasDerivative <P10117value> .
# with literal value
bf:hasDerivative [ a bf:Work ;
    rdfs:label ""P10117value"" ] .","hasDerivative*
or
hasDerivative >> Work > rdfs:label
"
is work described in (RDA 23.5),http://rdaregistry.info/Elements/w/P10118,"bf:referencedBy <P10118value> .
# with literal value
bf:referencedBy [ a bf:Work ;
   rdfs:label ""P10118value"" ] .","referencedBy*
or
referencedBy >> Work > rdfs:label"
is expanded as work (RDA 24.5),http://rdaregistry.info/Elements/w/P10119,"bf:hasDerivative <P10119value> .
# with literal value
bf:hasDerivative [ a bf:Work ;
    rdfs:label ""P10119value"" ] .","hasDerivative*
or
hasDerivative >> Work > rdfs:label
"
is work evaluated in (RDA 23.5),http://rdaregistry.info/Elements/w/P10120,"bf:referencedBy <P10120value> .
# with literal value
bf:referencedBy [ a bf:Work ;
   rdfs:label ""P10120value"" ] .","referencedBy*
or
referencedBy >> Work > rdfs:label"
