RDA label,RDA IRI,pseudo-Turtle,Kiegel syntax
has surveyor agent (RDA 18.5),http://rdaregistry.info/Elements/m/P30312,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P30312value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/srv> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P30312value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/srv> ] .","contribution >> Contribution > agent >> Agent > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/srv>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/srv>"
has contributor agent of cartography,http://rdaregistry.info/Elements/m/P30315,"
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:Cartography ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent [ a bf:Agent ;
      rdfs:label ""P30315value"" ] ;
    bf:role <http://id.loc.gov/vocabulary/relators/ctg> ] ] .
# with IRI value
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:Cartography ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent <P30315value> ;
    bf:role <http://id.loc.gov/vocabulary/relators/ctg> ] ] .","instanceOf >> Work > expressionOf >> Cartography ; > contribution >> Contribution > agent >> Agent > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/ctg>
or
instanceOf >> Work > expressionOf >> Cartography ; > contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/ctg>"
has contributor agent of choreography (RDA 18.5),http://rdaregistry.info/Elements/m/P30316,"
bf:instanceOf [ a bf:Work ;
  bf:contribution [ a bf:Contribution ;
    bf:agent [ a bf:Agent ;
      rdfs:label ""P30316value"" ] ;
    bf:role <http://id.loc.gov/vocabulary/relators/chr> ] ] .
# with IRI value
bf:instanceOf [ a bf:Work ;
  bf:contribution [ a bf:Contribution ;
    bf:agent <P30316value> ;
    bf:role <http://id.loc.gov/vocabulary/relators/chr> ] ] .","instanceOf >> Work > contribution >> Contribution > agent >> Agent > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/chr>
or
instanceOf >> Work > contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/chr>"
has contributor agent of still image (RDA 18.5),http://rdaregistry.info/Elements/m/P30321,"bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:StillImage ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent [ a bf:Agent ;
    rdfs:label ""P30321value"" ] ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of still image"" ] ] ] .
# with IRI value
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:StillImage ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent <P30321value> ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of still image"" ] ] ] .","instanceOf >> Work > expressionOf >> StillImage ; > contribution >> Contribution > agent >> Agent > rdfs:label ; > role >> Role > rdfs:label=""contributor of still image""
or
instanceOf >> Work > expressionOf >> StillImage ; > contribution >> Contribution > agent* > role >> Role > rdfs:label=""contributor of still image"""
has contributor agent of moving image (RDA 18.5),http://rdaregistry.info/Elements/m/P30326,"
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:MovingImage ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent [ a bf:Agent ;
      rdfs:label ""P30326value"" ] ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of moving image"" ] ] ] .
# with IRI value
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:MovingImage ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent <P30326value> ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of moving image"" ]
  ]
] .","instanceOf >> Work > expressionOf >> MovingImage ; > contribution >> Contribution > agent >> Agent > rdfs:label ; > role >> Role > rdfs:label=""contributor of moving image""
or
instanceOf >> Work > expressionOf >> MovingImage ; > contribution >> Contribution > agent* > role >> Role > rdfs:label=""contributor of moving image"""
has contributor agent to aggregate,http://rdaregistry.info/Elements/m/P30327,not mapped,not mapped
has contributor agent of text,http://rdaregistry.info/Elements/m/P30328,"
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:Text ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent [ a bf:Agent ;
      rdfs:label ""P30328value"" ] ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of text"" ] ] ] .
# with IRI value
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:Text ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent <P30328value> ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of text"" ] ] ] .","instanceOf >> Work > expressionOf >> Text ; > contribution >> Contribution > agent >> Agent > rdfs:label ; > role >> Role > rdfs:label=""contributor of text""
or
instanceOf >> Work > expressionOf >> Text ; > contribution >> Contribution > agent* > role >> Role > rdfs:label=""contributor of text""
"
has creator agent of manifestation,http://rdaregistry.info/Elements/m/P30329,"bf:contribution [ a bf:Contribution ;
   bf:agent [ a bf:Agent ;
      rdfs:label ""P30329value"" ] ;
   bf:role <http://id.loc.gov/vocabulary/relators/cre> ] .
# with IRI value
bf:contribution [ a bf:Contribution ;
   bf:agent <P30329value> ;
   bf:role <http://id.loc.gov/vocabulary/relators/cre> ] .","contribution >> Contribution > agent >> Agent > rdfs:label ; > role=<http://id.loc.gov/vocabulary/relators/cre>
or
contribution >> Contribution > agent* > role=<http://id.loc.gov/vocabulary/relators/cre>"
has related entity of manifestation,http://rdaregistry.info/Elements/m/P30330,not mapped,not mapped
has contributor agent of speech,http://rdaregistry.info/Elements/m/P30331,"
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:Audio ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent [ a bf:Agent ;
      rdfs:label ""P30331value"" ] ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of speech"" ] ] ] .
# with IRI value
bf:instanceOf [ a bf:Work ;
  bf:expressionOf [ a bf:Audio ] ;
  bf:contribution [ a bf:Contribution ;
    bf:agent <P30331value> ;
    bf:role [ a bf:Role ;
      rdfs:label ""contributor of speech"" ] ] ] .","instanceOf >> Work > expressionOf >> Audio ; > contribution >> Contribution > agent >> Agent > rdfs:label ; > role >> Role > rdfs:label=""contributor of speech""
or
instanceOf >> Work > expressionOf >> Audio ; > contribution >> Contribution > agent* > role >> Role > rdfs:label=""contributor of speech""
"
