_ - propertyLabel,_ - propertyURI,mapping.turtle,mapping.kiegel,uwFormOrder,usedInProfile,Notes,sinopiaNotes,CHECKED BY,_ - type,_ - mandatory,_ - repeatable,_ - remark,_ - noteUw,_ - valueConstraint - defaults - _ - defaultLiteral,_ - valueConstraint - defaults - _ - defaultURI,_ - valueConstraint - valueDataType - dataTypeURI,_ - valueConstraint - useValuesFrom - useValuesFrom,_ - valueConstraint - valueTemplateRefs - valueTemplateRefs
expression has contributor agent (RDA 18.5),https://doi.org/10.6069/uwlib.55.d.4#hasContributorAgent,"bf:contribution [ a bf:Contribution ;
   bf:agent <value> ] .
# with literal value
bf:contribution [ a bf:Contribution ;
   bf:agent [ bf:Agent ;
      rdfs:label ""value"" ] ] .","contribution >> Contribution > agent*
or
contribution >> Contribution > agent >> Agent > rdfs:label",233.1,"""map"",
""eMap"",
""eBook"",
""serial"",
""eSerial"",
""graphic"",
""eGraphic"",
""dvdVideo"",
""monograph"",
""soundRecording""",,,,lookup,FALSE,TRUE,http://access.rdatoolkit.org/18.5.html,,,,,,
has University of Washington-specific note on expression (RDA 7.29),https://doi.org/10.6069/uwlib.55.d.4#hasUniversityOfWashingtonNote,"bf:note [ a bf:Note ;
   rdfs:label ""value"" ;
   bf:noteType ""University of Washington note"" ] .","note >> Note > rdfs:label ; > noteType=""University of Washington note""",127.2,"""monograph"",
""dvdVideo"",
""map"",
""serial"",
""eBook"",
""graphic"",
""soundRecording"",
""eMap"",
""eSerial"",
""eGraphic""",,,,literal,FALSE,TRUE,http://access.rdatoolkit.org/7.29.html,,,,,,
