original_RDA_identifier,equivalent_BF_identifier
003c0e59-9ab1-4fc2-8522-1a7b78601fef,c1aa7315-4751-438e-a4f1-01eda8aaf37a
018e4c97-fb45-4333-9e8e-6cc0584e49ac,cc08b718-e374-4453-bf91-b1c6b591b320
032cba08-e735-425c-bc88-9433d2616226,d7f0bde5-7b9c-4ad1-8fd3-946fe4354f88
0894a8b3-b110-4705-9cb4-9ae1009ab0a3,4c89f0e8-148a-4fdb-8629-d8dcc666cbc4
0a4ea663-988e-474b-a25e-659b935b65a9,29e5f81c-76b0-4cdd-906e-ee3149d0abc6
0b6addf4-d44d-4502-a637-a50e70420b80,ec131c8e-9c73-4782-8b59-b3a1fcf4c885
0c687772-a7be-40e6-82c0-f00c4c59a319,2f4a3a3e-c378-4da9-b054-6886f34b0a2b
0eca0437-74d5-43ee-a46e-f935800fd4a2,20e77a62-115a-4a55-a609-7807a9ad7f5b
1079c5c0-7ecd-4fb0-a090-f5a4bcabdf94,d4d19a19-0077-4799-97ee-73d8b45c9aa4
1204a5b5-49c0-40b0-b7ce-cdee99e8e54b,144fd3d2-626b-466b-ba8c-c7f007b9ec03
1383668f-9764-4092-a900-6d24dc7b6954,df5ca08a-607c-4320-b376-f373de4d5117
15381424-2eda-4d58-ad47-b1029e784398,4c159ebb-b535-4496-a96f-bcb047228cf2
16a61969-3b31-4e09-bba0-0319a13895d1,85b5e7f7-7576-4b45-ae1c-d19f54558657
16ac9fa7-4e65-44ca-99f0-c19931503e64,0935d565-e2d7-44e6-9550-a00d54be7b10
18435621-8e0f-4e45-b7df-890f0114d5ce,58cb4d60-db24-48b1-ac89-d85ebd73ea34
199fd36d-eb47-4a1a-849b-2de1549e24ea,8510171a-5ce8-4460-b462-3e6e9509e39e
1a09069d-8165-42ae-bfc0-f6b269b4d34b,2fcb7ccc-54db-4851-9201-24d3c630ea7f
1f90db66-a3f9-49bf-aaa0-ec3675df4027,b8a04522-d2ef-4f42-b1e9-c96c123b6f3b
1fcacdb5-8245-4f0e-9900-0b080d38d8a2,7386f748-da17-460a-9c40-6d4cc345f755
1ff786f6-7674-49f7-a4e3-23a15c18f398,db576d41-5813-4ef8-9ae1-720dc0dfd0c1
20492d30-7f5a-48fc-9857-ca975c586494,8d496842-7d55-420c-b4e9-7b25fd67f6ca
