original_RDA_identifier,equivalent_BF_identifier
003c0e59-9ab1-4fc2-8522-1a7b78601fef,7b2c52c2-981e-4613-b503-4b09b4abfe43
018e4c97-fb45-4333-9e8e-6cc0584e49ac,8ac93c98-42ff-4a67-a67e-11857cae5b02
032cba08-e735-425c-bc88-9433d2616226,c25b808f-7cb7-4f0c-9f90-9718292fac53
0894a8b3-b110-4705-9cb4-9ae1009ab0a3,fec3d173-225f-4d17-b421-0b8d1d126315
0a4ea663-988e-474b-a25e-659b935b65a9,ff76b00e-4a1a-43fe-b300-f76394d4109e
0b6addf4-d44d-4502-a637-a50e70420b80,1571d857-794d-4cf4-a901-b33fbcfa4272
0c687772-a7be-40e6-82c0-f00c4c59a319,2971c433-f9e2-477a-bfe3-358d8730bb81
0eca0437-74d5-43ee-a46e-f935800fd4a2,a8ced28c-3a3e-4da5-bf02-ca655abf72fa
1079c5c0-7ecd-4fb0-a090-f5a4bcabdf94,ce0a0629-5c5b-46a3-bdf4-ecdd4d595898
1204a5b5-49c0-40b0-b7ce-cdee99e8e54b,6b047c02-e3b6-4383-a156-bc0988d458b0
1383668f-9764-4092-a900-6d24dc7b6954,e7960f6c-e6f1-400c-a0fd-4f7ba8d1f5ba
15381424-2eda-4d58-ad47-b1029e784398,2dc2e5ba-07fc-4497-9a2a-a2a8c21b6a39
16a61969-3b31-4e09-bba0-0319a13895d1,fe2804dc-251a-4d3c-9965-10699d53c9a9
16ac9fa7-4e65-44ca-99f0-c19931503e64,4e6d7beb-35d8-46bd-8de4-cdc695aa5868
18435621-8e0f-4e45-b7df-890f0114d5ce,88aa0355-ec8a-4280-bb3f-25d637552900
199fd36d-eb47-4a1a-849b-2de1549e24ea,8cbcefe4-2dcc-4cc6-af23-4083d126206e
1a09069d-8165-42ae-bfc0-f6b269b4d34b,ec26338f-c764-4eda-93d8-c95ba98545b6
1f90db66-a3f9-49bf-aaa0-ec3675df4027,1c2775dc-8d3e-47c6-8615-60be05f5be1f
1fcacdb5-8245-4f0e-9900-0b080d38d8a2,0444795b-9c5e-4312-898c-ab5a4497a91f
1ff786f6-7674-49f7-a4e3-23a15c18f398,7867370f-abd7-4e8a-823b-54df56db887c
20492d30-7f5a-48fc-9857-ca975c586494,bdfe6f91-1d7b-454d-b251-9c6c134d820a
204dc35b-d74a-45f6-ba66-ff5cbe3a75b3,19617335-2537-4f15-b600-3129c717f43e
20578541-d001-4b6a-818c-413ee8d77b4a,bfc193e1-9adf-4cf3-9bbd-6301ec4b705f
224f348e-85a0-4832-9d42-f779a37457da,6f592c1e-a632-4d5d-ba50-8ffe828be4c0
2370edaa-0c6e-4d0c-baef-994235d4f86c,169c4943-855d-4179-9119-223a426ad56d
2442f2d5-0841-4384-b08e-bd25c3a3d4e9,ca2809a4-43af-4437-8d8f-6228c79202fc
24cd1b8d-48fe-43dc-95d9-d64df2032f24,2065c7ba-3332-4845-93d3-7a6b609ec466
251393a8-33fb-44fd-827e-a75328c3fbaa,7ec62a4d-b873-4715-bc0c-58865ecd67ee
25406ec2-3893-45e6-b857-064fc606657d,1ff1b463-37a8-4916-8793-09eb665f154a
25a341e3-305a-49a9-8322-5a45a6227535,68ac4db7-5389-4d23-91a3-c88f81ee818c
270833dc-b0e1-4402-a5fa-df97166839d0,1e7591b7-04de-4a70-9e5c-61c3561932b0
29aae6bc-a3e0-4dcd-8ef7-5340615690a2,4079ea77-6ee5-411e-b75f-745cef922470
2b0e847a-5fad-4150-9612-aec9f9474096,769a0b6a-a957-409f-8acf-cb19d808356e
2be1aad1-4cae-4a38-82aa-896480e41a79,ffdd7b52-2247-4fed-82eb-48468866036f
2f6fce73-629b-4987-9af6-b496e4c8091c,09ba474c-18c1-47f4-9295-4229ba5e1e85
3c583cca-5a19-4774-bc93-bdcb63a34e09,52c61e7d-904a-4ef5-9a69-afd25a9a4502
3caa00f9-8660-4a48-bf78-373a235eeecb,0bec4da3-d3cb-40af-a6d6-68b5bcbcdb0e
3dafb07b-ff14-4a67-b53e-822d97ad644a,745953a0-33ed-4995-950e-8de02c60c27e
3eb2f65f-7238-4b34-95ff-3fa36b67c667,1b0018fb-1d21-4d9c-85f0-c945bb1d6c3e
