original_RDA_identifier,equivalent_BF_identifier
003c0e59-9ab1-4fc2-8522-1a7b78601fef,0e3d0dfe-cd7c-4ed8-a24f-c0e1b387beda
018e4c97-fb45-4333-9e8e-6cc0584e49ac,1d766a2c-0267-400f-b5fc-7f1bd9a404e0
032cba08-e735-425c-bc88-9433d2616226,4a62c513-e388-4b0f-ae39-540caf601d2b
0894a8b3-b110-4705-9cb4-9ae1009ab0a3,920941d5-737f-46ff-a2ea-5bcf63122bc6
0a4ea663-988e-474b-a25e-659b935b65a9,76f7bccc-cb65-43f6-b091-0e4a0547cf9f
0b6addf4-d44d-4502-a637-a50e70420b80,6970db04-a815-4651-8074-4fcc8a075917
0c687772-a7be-40e6-82c0-f00c4c59a319,6d8de070-3dd0-41f8-9aa1-c0d710fab925
0eca0437-74d5-43ee-a46e-f935800fd4a2,15b3c563-60f6-4f22-a17c-c0f234316c1d
1079c5c0-7ecd-4fb0-a090-f5a4bcabdf94,7103665c-241d-4214-86e5-32e904a9d5eb
1204a5b5-49c0-40b0-b7ce-cdee99e8e54b,bd556df0-b9f1-4e5a-aaa8-3631031b49b2
1383668f-9764-4092-a900-6d24dc7b6954,4d698ee0-a251-404f-9ce1-6a0707c29b7b
15381424-2eda-4d58-ad47-b1029e784398,fdffd993-b001-47a3-9d08-e0319199c212
16a61969-3b31-4e09-bba0-0319a13895d1,f61f60b4-1a3c-464a-a5b4-15ac766280c7
16ac9fa7-4e65-44ca-99f0-c19931503e64,15cdd22b-6a33-43a5-8d73-7b191deb8058
18435621-8e0f-4e45-b7df-890f0114d5ce,681da278-af16-48ae-b42c-c1ea4bd91b8e
199fd36d-eb47-4a1a-849b-2de1549e24ea,0ccf3bc2-3fe3-44cd-94cb-f11204dffa35
1a09069d-8165-42ae-bfc0-f6b269b4d34b,09b70383-65a7-4790-84e8-1c97b6e0a0cb
1f90db66-a3f9-49bf-aaa0-ec3675df4027,3794d9f8-fcd3-411a-bcb3-e414ceba95ac
1fcacdb5-8245-4f0e-9900-0b080d38d8a2,bd593ace-c95e-42a8-8605-26f3673d1f20
1ff786f6-7674-49f7-a4e3-23a15c18f398,87eb7282-1660-4b09-853e-73692a61d312
20492d30-7f5a-48fc-9857-ca975c586494,65849a60-f2c8-4a55-b772-9027609ae9fb
204dc35b-d74a-45f6-ba66-ff5cbe3a75b3,6751e722-26d0-4476-87f3-2040c55fba19
20578541-d001-4b6a-818c-413ee8d77b4a,f2639e8f-6cb9-43f8-b043-7e6d13977e66
224f348e-85a0-4832-9d42-f779a37457da,36f6cb60-5af6-4e11-891f-521bfadecc92
2370edaa-0c6e-4d0c-baef-994235d4f86c,ced671f4-326d-4881-bed0-71dc69c2d7e6
2442f2d5-0841-4384-b08e-bd25c3a3d4e9,9e8b7291-5e09-40dc-b9fd-3380a06f7fc2
24cd1b8d-48fe-43dc-95d9-d64df2032f24,95cda3c2-a052-4d3d-be5d-3270f2585b57
251393a8-33fb-44fd-827e-a75328c3fbaa,3aa16c7d-b23e-49f8-a95c-dd081af82831
25406ec2-3893-45e6-b857-064fc606657d,edc32100-6a77-40d5-b662-ee747a74031a
25a341e3-305a-49a9-8322-5a45a6227535,752e8c23-1ac3-4d99-8683-34ba6a9eda30
270833dc-b0e1-4402-a5fa-df97166839d0,d30549fa-ed07-4824-b81a-c9f3fae233af
29aae6bc-a3e0-4dcd-8ef7-5340615690a2,e2543548-8af9-4564-a6c1-b0ee99a759e9
2b0e847a-5fad-4150-9612-aec9f9474096,95378727-644b-446e-8abc-dc108f727914
2be1aad1-4cae-4a38-82aa-896480e41a79,492fa493-d6fe-4afc-b2d0-fef7198a1ab0
2f6fce73-629b-4987-9af6-b496e4c8091c,242f95d7-a9a2-4e65-aa31-0f136fc05afa
3c583cca-5a19-4774-bc93-bdcb63a34e09,a1b95200-7baf-4dd1-b6e7-29768a5ae485
3caa00f9-8660-4a48-bf78-373a235eeecb,94efc1a9-8917-4bbe-9002-07f86bb2e9a6
3dafb07b-ff14-4a67-b53e-822d97ad644a,23774eca-7c54-4aec-aeb6-bec65386896c
3eb2f65f-7238-4b34-95ff-3fa36b67c667,7e43e08e-0730-44a8-a7a1-ac8391e4acf4
3f51c956-0a93-4dc6-b16c-cecee7693db3,0e9253ee-6d55-4676-b946-2b9c8376c270
3fc91d7c-c5b9-413d-a0c0-4734672b5602,74545f84-0397-42a8-8e90-1efdea392336
40a13f9e-9a28-4d20-91db-d6dab4284bf6,04eaa7b0-f0b3-4509-a5f9-2e032a3f3854
420d9d87-de67-45fd-8367-e1c451ef725a,984ad010-971b-48e0-afaf-f422c14ddbaf
