original_RDA_identifier,equivalent_BF_identifier
003c0e59-9ab1-4fc2-8522-1a7b78601fef,19aab1c0-fd8f-40ce-87e4-1b15af100dea
018e4c97-fb45-4333-9e8e-6cc0584e49ac,bd68dde2-63a2-4873-a4e6-25beabdc4be3
032cba08-e735-425c-bc88-9433d2616226,c23a5fc5-022a-4123-ab29-34ee38eb2f4b
0894a8b3-b110-4705-9cb4-9ae1009ab0a3,93188f7e-e972-46c5-a2a1-2f2f324c419c
0a4ea663-988e-474b-a25e-659b935b65a9,42d82e1b-33e8-4478-a208-9d6c104b986b
0b6addf4-d44d-4502-a637-a50e70420b80,b5e05be4-5c8d-485d-aa77-971e0fb4e540
0c687772-a7be-40e6-82c0-f00c4c59a319,214490d0-9735-431b-a816-77f31dfc992b
0eca0437-74d5-43ee-a46e-f935800fd4a2,064fb1fd-840e-4383-a7e5-e166a3ac3d47
1079c5c0-7ecd-4fb0-a090-f5a4bcabdf94,fa1968db-c92d-4707-996e-c51f9cd89d27
1204a5b5-49c0-40b0-b7ce-cdee99e8e54b,218f34c7-7221-4075-80e0-a06c79d3bf1c
1383668f-9764-4092-a900-6d24dc7b6954,fae08c0b-31fd-4781-b67a-b75a0d864d98
15381424-2eda-4d58-ad47-b1029e784398,d776e9b5-f328-41d0-9af1-5d7e0bcf0dd5
16a61969-3b31-4e09-bba0-0319a13895d1,b438b87c-7c22-46c4-8849-a54680fd0010
16ac9fa7-4e65-44ca-99f0-c19931503e64,d30758b4-d524-43f8-a903-ec10e9be5a7a
18435621-8e0f-4e45-b7df-890f0114d5ce,38356317-48b0-4d44-8ebd-4f28d1cd2211
199fd36d-eb47-4a1a-849b-2de1549e24ea,4a94d30e-9e29-444b-986c-6f364aadd753
1a09069d-8165-42ae-bfc0-f6b269b4d34b,66209238-83bc-47b9-9975-211cf49d2bca
1f90db66-a3f9-49bf-aaa0-ec3675df4027,8256de06-cf45-431c-8d70-398700da5880
1fcacdb5-8245-4f0e-9900-0b080d38d8a2,e676040a-8c82-4f01-8da0-d04a462442c2
1ff786f6-7674-49f7-a4e3-23a15c18f398,68a34d33-fc7b-4206-841a-dff1f13abb0b
20492d30-7f5a-48fc-9857-ca975c586494,66778058-edd8-42d5-b000-0ecf7257ed7c
204dc35b-d74a-45f6-ba66-ff5cbe3a75b3,df05d15e-5553-4577-b902-836cd481123f
20578541-d001-4b6a-818c-413ee8d77b4a,ca3a2616-7f07-4dee-b10b-b9e88dd93dee
224f348e-85a0-4832-9d42-f779a37457da,81868704-103b-433f-acb3-5fe19292884c
2370edaa-0c6e-4d0c-baef-994235d4f86c,b4eb24bd-7261-4c69-b221-dd01ac2cf4c3
2442f2d5-0841-4384-b08e-bd25c3a3d4e9,e5153924-bb28-42b2-a480-d65032b29a2b
24cd1b8d-48fe-43dc-95d9-d64df2032f24,75c0b839-1b07-4bfc-baf2-16aadc4d3c90
251393a8-33fb-44fd-827e-a75328c3fbaa,32928944-dcfb-4d27-b6bc-897edaa78988
25406ec2-3893-45e6-b857-064fc606657d,a154fcfd-9f67-4466-b7e4-da786413e012
25a341e3-305a-49a9-8322-5a45a6227535,4a00824f-82bc-4c09-b986-6dd90b95a79a
270833dc-b0e1-4402-a5fa-df97166839d0,81ff4d60-70f9-4a44-93db-4cd20b49ab5c
29aae6bc-a3e0-4dcd-8ef7-5340615690a2,e785ecd6-e245-497b-9c6f-c14b7d1e2fb5
2b0e847a-5fad-4150-9612-aec9f9474096,645c5b5b-edc5-4c1d-bafe-899f9b60ce00
2be1aad1-4cae-4a38-82aa-896480e41a79,feff756a-e648-4714-97aa-b96d35a5d4a4
2f6fce73-629b-4987-9af6-b496e4c8091c,c3265bf1-7c14-4662-8551-4eb1c4f1d21f
3c583cca-5a19-4774-bc93-bdcb63a34e09,caba981b-6a54-44e5-beac-3d145ed84587
3caa00f9-8660-4a48-bf78-373a235eeecb,60bf8665-3e03-4a1d-8406-cc2d08c43657
3dafb07b-ff14-4a67-b53e-822d97ad644a,ff72bb47-9d40-459c-a259-2655c4795a63
3eb2f65f-7238-4b34-95ff-3fa36b67c667,cd6e6ddf-0324-415c-a9b4-b9358d23133e
3f51c956-0a93-4dc6-b16c-cecee7693db3,db9bb667-b705-448f-a79e-c7af1f575a0a
3fc91d7c-c5b9-413d-a0c0-4734672b5602,b936bb58-95ae-4285-b884-9a3f34c8e764
40a13f9e-9a28-4d20-91db-d6dab4284bf6,6f7a6731-68bc-428e-ba6f-6cce9c404d29
420d9d87-de67-45fd-8367-e1c451ef725a,864d7480-de39-450b-a0b0-cf3aa21f75e0
4488232a-2514-409b-9a5e-95f423f1a1ae,0de7a6ea-b5af-4ff2-9a42-a6caee8ffbd2
47396f92-ff77-4480-a26d-8e7c73b83043,f308d4fe-4925-4bc4-bf0f-72518c727e67
49412d8a-a5b9-4f20-b797-f78a927cacce,7da2d4b6-6517-489f-bc58-664a370530f6
4a80857f-53bd-4aff-8ea3-29b5e936e4d4,4b31a773-d182-4597-88f2-1d54fb14169b
5112fda2-2a63-4d0a-8b02-1e7da4ebd85b,84101244-68f4-4bb9-979a-e3a34d65dbb1
53ac989d-d13d-402a-9f6c-03d165f91319,762c6483-0c36-43e8-8796-f67d95849528
54c03745-0b0a-4211-8e50-c1a765be0309,24d7fa76-8868-497c-82d4-4bb8a5ded2ca
54c76af5-659d-49c4-9486-18e693ccdb5a,ffc7d29f-d14a-4412-9097-f298c7280463
563cdff1-ce5d-417e-a282-a98d710c1b14,45c93ee9-1a73-4aa6-bcdb-92dcb770639a
59020c14-ea04-4403-8d6b-2e3a8f48b3c7,45946e28-42f6-4aa8-a7d2-79de6405c8ec
59122c7c-302b-4a95-9201-717356a1350b,de10b9db-39b1-47ae-a449-48e84332ace3
5a35c300-05ca-407c-b72e-d482b9496493,20e1e06a-6096-4729-9985-3fed9a230aff
5abb3bdf-0109-4b77-b984-f73900ae981e,87af98b1-3ac4-4621-8270-6fae11a4ba63
5ad4add2-2dc2-456a-ab7b-fa7678abba86,9c5c378f-f901-4867-82c0-9b255729b231
5b20e066-5723-4067-a8e5-799342f90192,35a51a14-a0f5-4bde-8e2a-fecb20341a09
5c8ce526-e275-4f74-93ef-0ffc56389cc5,a25f9f3c-6987-49ad-a2b4-4a081211240f
5f1dc2d1-1b6c-4c5c-a993-910c65003954,904727b8-e03d-4286-a9e0-4a3636ad4a02
60b13770-473e-4dc9-bedf-de4e6c5130f5,25bf2f7d-5739-4098-b754-46234f7d5a85
61231191-9b85-4ba4-aa90-42a64e6bac9c,ff832675-de2c-4bea-bb05-fe84ab63106e
64af3c0e-5fdd-4727-b207-2b7beeaeabf4,c069a5ca-8818-4586-8379-25563d8aacf6
66de3ff5-2b1c-41b6-a25b-8a30b6a2b69f,a4a302d4-c007-44c0-97eb-7ff65bf81f51
6997f169-0deb-4355-b64e-5485fe4a48b8,f40dec27-4641-4aa9-afae-bb30f315102c
6a36c334-c396-4dbb-b7da-9edf8de7a2ce,3d20896f-1208-4724-95ce-d22589cde84b
6b974e4c-0d1d-4a7a-b750-a5d4cb54ffd9,b5442424-b7f9-4ae0-b7c6-a873e602cc0b
71b26abb-43ba-412e-a965-67e06fefedc2,860203d3-f3e5-4e48-a638-5c9459e3480e
7580672d-ace4-4a41-b89a-8a0b8631e586,4b33dad5-4fbb-48cd-b7f8-9eaddbf01590
7931f622-717d-43ae-8121-ccffd0e47149,0607ea17-e096-420d-8993-e692ea88b1b4
7a9c8d69-4c3c-468c-aab9-0bee9026d145,bae12ae6-84f2-4b21-a677-34eb56116912
7cffe198-f453-409b-b985-9d5660c7272c,1ac7dad2-cc4e-4a41-b360-23c55349d289
7e1f6ae6-a6b0-493c-aeb1-a1fab52be1e9,c70b36cb-62d9-4782-87e2-d862d26c9303
7e72cdce-2517-4bd5-be85-5836273f0e31,18daa497-c77d-4dc9-942f-296fbb01e3e0
7f1ae484-c6e1-424e-9e18-a91e1c345161,943c3d3a-bc52-4d8d-acb0-d62e79a518ac
82f4a21f-79c9-4370-b40e-16dd363466bf,06241196-c494-427b-8fad-a06b974bbe20
86f61d7c-2742-4716-bb0f-9f2b82111548,6693e8de-7b3a-4d75-b066-c5c335f0ae84
877155d9-bc9f-437f-991a-8a232932f580,c47e4a1d-413a-4723-bfc7-80a9ba3dd6ae
88ae0700-dd55-4089-add1-314469a85c12,22fc78e5-3892-409b-87f7-63dbf9ee2d0f
897e29fe-4ad6-4692-a890-f6657971ce22,739623d1-1af5-4afd-9996-645c422a23f3
8a0d5042-8b2d-4287-b228-612e456f0fe5,a7827afb-6e84-406c-b154-0dcda1fc29b0
8ab49fc5-0df2-4ee3-8c63-69cf51cf65b8,fa1811c9-3d4e-490a-a81b-fd1f1cdd81bb
8b96753d-1f7e-498f-b102-76faa7fc1061,a0ad8874-e857-4ea4-b55c-268a6890dc78
8ddbe5d0-a962-4c51-a249-9cf55a6c2a00,abcdbe50-f089-4036-8631-48c2b4ca40a4
921f8702-2492-4296-ba11-c3315f76687d,ec17ccd0-6197-42ff-92ed-1e471abc0dd6
94c8153f-01b0-42ad-b356-70f3bd64e6dc,f2156ad0-c93d-49aa-a96c-f9f7ee4dbc76
970bb97e-7efe-4ac7-97cf-d00b868ca0d6,55cc13f3-729d-4977-82ba-1fdc957761ec
994efbab-6adb-4953-95e8-9a323436829f,f795eecc-47a6-4116-af81-aaa3eee814b6
9cd24070-1dea-44f7-a7fe-e5a917db49d9,df9a9720-7e1a-4208-bbfd-df6f694cc6d3
a03b533e-b56f-410a-aa93-ab002bfcea6d,e8eea4c4-ce72-42bc-9d9f-3ea363735294
a1bf1c9f-f0ba-4af8-a05d-44ccb04a8bb0,25c8c147-57e1-4191-b45b-c5f7041d43c0
a2979f34-29cc-44a4-a1c6-36a4ab6b3651,b0b95542-9ab1-42c3-9fba-9183147afbd9
a3186ad1-a262-4206-a35d-9598b7f11d27,987bb40f-ae76-4113-b4ed-daa6ed0656b6
a36e9ced-6550-4bcc-b37d-aa7e8a0e123e,58260204-abb2-4906-8930-ca25e913d14b
a76ab4e2-10f9-4310-9b08-fdd89441355e,cfc44082-eade-4776-8db4-b8267ccd9a02
