original_RDA_identifier,equivalent_BF_identifier
003c0e59-9ab1-4fc2-8522-1a7b78601fef,89c69c3b-8ae2-4b27-89fe-9b8f02ef455e
018e4c97-fb45-4333-9e8e-6cc0584e49ac,d7296153-0618-4da0-8772-c261305f0507
032cba08-e735-425c-bc88-9433d2616226,6dbc8aaf-4ca7-44b2-ab67-b3b0ad91f55c
0894a8b3-b110-4705-9cb4-9ae1009ab0a3,7e358657-547f-4bee-a86b-9b2afa45c82b
0a4ea663-988e-474b-a25e-659b935b65a9,9399f022-5eee-432e-b7a6-e97981cc83b6
0b6addf4-d44d-4502-a637-a50e70420b80,8f16dba7-d028-497e-b3bb-270e7f5f84f5
0c687772-a7be-40e6-82c0-f00c4c59a319,a1eaad12-0a69-4d78-aad7-dd2057548839
0eca0437-74d5-43ee-a46e-f935800fd4a2,b4e0d01a-f2d8-45ed-958e-070a1082c55a
1079c5c0-7ecd-4fb0-a090-f5a4bcabdf94,756b7449-f12a-4533-8869-1887f1605339
1204a5b5-49c0-40b0-b7ce-cdee99e8e54b,b4e1fc6d-8c29-447a-94a8-fed3132ca629
1383668f-9764-4092-a900-6d24dc7b6954,db3cc759-6de2-4e84-a55d-afb78aa59633
15381424-2eda-4d58-ad47-b1029e784398,2ac65678-62f6-4829-abbc-a69310cc2ed0
16a61969-3b31-4e09-bba0-0319a13895d1,15294c8a-6213-46e7-bb76-af1175acbcbf
16ac9fa7-4e65-44ca-99f0-c19931503e64,add23bfb-b1df-46dc-aa95-e08db8328d08
18435621-8e0f-4e45-b7df-890f0114d5ce,77c62144-0099-4dc6-96cb-6e1f2ac031e7
199fd36d-eb47-4a1a-849b-2de1549e24ea,1826396a-408f-4102-bc46-c788ae3ac514
1a09069d-8165-42ae-bfc0-f6b269b4d34b,a649bbe4-e43e-4d22-94e4-b351ff25eebd
1f90db66-a3f9-49bf-aaa0-ec3675df4027,c951e547-fbbf-42bb-b6b1-eebabc11994d
1fcacdb5-8245-4f0e-9900-0b080d38d8a2,fb920772-9ed0-48b8-be10-0e0a9fbfabb2
1ff786f6-7674-49f7-a4e3-23a15c18f398,9dcf4d88-a3a7-4b40-9c88-4a812c085601
20492d30-7f5a-48fc-9857-ca975c586494,093fe191-c7fd-4cb7-a104-2bc0dea22536
204dc35b-d74a-45f6-ba66-ff5cbe3a75b3,2abf0918-b4f6-4be1-89c3-3e83e874b8ff
20578541-d001-4b6a-818c-413ee8d77b4a,4b3f4fee-4ab3-4ef3-ba2a-ae3445b77247
224f348e-85a0-4832-9d42-f779a37457da,9195110e-ff30-46c9-9014-a6868ff1c538
2370edaa-0c6e-4d0c-baef-994235d4f86c,6f4d990f-9100-4372-8352-966bcc496492
2442f2d5-0841-4384-b08e-bd25c3a3d4e9,38250974-566c-4434-b3c4-abb80979dc00
24cd1b8d-48fe-43dc-95d9-d64df2032f24,d5d37ced-e94d-4e98-ac71-02d51bebf990
251393a8-33fb-44fd-827e-a75328c3fbaa,bcd629e7-8f36-4f77-a9be-ef14db082cca
25406ec2-3893-45e6-b857-064fc606657d,cb191521-6b36-4f9c-8111-af2fd55c42de
25a341e3-305a-49a9-8322-5a45a6227535,eb70f973-e2ad-4be6-bd9f-22555d910907
270833dc-b0e1-4402-a5fa-df97166839d0,f84bbd56-6109-4671-8c04-073a7c9d935f
29aae6bc-a3e0-4dcd-8ef7-5340615690a2,dfbe6d4d-3fcc-43d7-bfc4-5fad95049775
2b0e847a-5fad-4150-9612-aec9f9474096,cf2740c7-8454-4ec6-a7cb-85b42bc7e2a4
2be1aad1-4cae-4a38-82aa-896480e41a79,b90862f4-c0f7-4e2b-9d40-329905226076
2f6fce73-629b-4987-9af6-b496e4c8091c,f313a3ec-623c-44d8-8d9c-81cc057cf47f
3c583cca-5a19-4774-bc93-bdcb63a34e09,5f756ad9-ef25-457e-a058-e556659a47bb
3caa00f9-8660-4a48-bf78-373a235eeecb,42c2ade1-ee15-4f7a-b4e2-9d900f01a5cd
3dafb07b-ff14-4a67-b53e-822d97ad644a,feb92b89-ce42-44df-8568-e81c33f30bb1
3eb2f65f-7238-4b34-95ff-3fa36b67c667,7031fc30-e15d-48b2-8b51-50ece0c7e214
3f51c956-0a93-4dc6-b16c-cecee7693db3,36e42818-002f-40e5-9379-7731590ab98e
3fc91d7c-c5b9-413d-a0c0-4734672b5602,f984a9fa-35b0-41a0-b122-e25761bcabd9
40a13f9e-9a28-4d20-91db-d6dab4284bf6,c2b4da6b-483c-4564-85a5-f87cc6c3562e
420d9d87-de67-45fd-8367-e1c451ef725a,77366853-03d9-4311-9d7f-05c9e110c71a
4488232a-2514-409b-9a5e-95f423f1a1ae,d204459a-105e-420c-926f-488d85395220
44978c67-bc3f-40a1-99cb-3f360ff4dde2,39ac17cb-2233-46c2-b74c-70b9a347deb8
47396f92-ff77-4480-a26d-8e7c73b83043,936f25f6-0588-45d6-996a-96978785d68b
49412d8a-a5b9-4f20-b797-f78a927cacce,7c22e2b6-3d93-4ad7-9481-ae7a966c2a7a
4a80857f-53bd-4aff-8ea3-29b5e936e4d4,41f6d639-ad11-4eb8-9e97-0f43ec9797b4
5112fda2-2a63-4d0a-8b02-1e7da4ebd85b,e62b8c43-22b6-4506-b78b-2b7eea1b0349
53ac989d-d13d-402a-9f6c-03d165f91319,ba428baa-aae6-4a3e-b6bc-74e28640ed43
54c03745-0b0a-4211-8e50-c1a765be0309,7984dfe6-97fc-4b64-b610-62793ec92769
54c76af5-659d-49c4-9486-18e693ccdb5a,6de606f6-26bc-40ad-adbd-b1a029d13832
563cdff1-ce5d-417e-a282-a98d710c1b14,31eed38e-8cef-4083-bba2-9e42d5978af5
59020c14-ea04-4403-8d6b-2e3a8f48b3c7,175e509b-ae2b-4963-8b5a-5237e9b2fafd
59122c7c-302b-4a95-9201-717356a1350b,f726a6ec-8723-4694-bf43-5aea8cf94044
5a35c300-05ca-407c-b72e-d482b9496493,aacfe395-62d1-4ec0-8a75-853bf2f2b442
5abb3bdf-0109-4b77-b984-f73900ae981e,533d5ae1-57ca-4cb2-8593-9ae9ecfdf00d
5ad4add2-2dc2-456a-ab7b-fa7678abba86,c7014e5a-c035-45cf-90c9-facf5f625061
5b20e066-5723-4067-a8e5-799342f90192,5e66925e-59ed-4f1b-afe6-de3a7470845b
5c8ce526-e275-4f74-93ef-0ffc56389cc5,a5fd9f16-45d2-4c92-9dfd-f1abe99f91a1
5f1dc2d1-1b6c-4c5c-a993-910c65003954,e6d4d301-a3a7-4f21-a797-7f884f38a128
60b13770-473e-4dc9-bedf-de4e6c5130f5,abc14ae6-4af4-415a-aec5-8f7ec2bed2e1
61231191-9b85-4ba4-aa90-42a64e6bac9c,4ef6372e-15f0-4461-a333-5c2303ad11b9
64af3c0e-5fdd-4727-b207-2b7beeaeabf4,a149001d-0aa3-4d9d-bf2c-6e6e9486ba8d
6997f169-0deb-4355-b64e-5485fe4a48b8,6b1b5b0b-4a2e-4763-975a-760cec0cc39e
6a36c334-c396-4dbb-b7da-9edf8de7a2ce,69312f8d-50c4-4125-94da-4b56f4183305
6b974e4c-0d1d-4a7a-b750-a5d4cb54ffd9,16e78699-8b8b-487a-b5aa-9c9b26d9bce8
71b26abb-43ba-412e-a965-67e06fefedc2,abd5f307-00bf-4aa8-b675-2e27ddac4fbf
7580672d-ace4-4a41-b89a-8a0b8631e586,dc73d81a-7007-4482-a63e-211e7b90995b
7931f622-717d-43ae-8121-ccffd0e47149,600099e8-3e10-4f17-b292-b476e1a97f73
7a9c8d69-4c3c-468c-aab9-0bee9026d145,772ba991-3b82-43ac-96dc-b7b5a848c6f9
7cffe198-f453-409b-b985-9d5660c7272c,2a514c6e-fbf8-46d2-afae-f8d306e30062
7e1f6ae6-a6b0-493c-aeb1-a1fab52be1e9,cd277477-9d34-471f-871a-bdbf80ba1f04
7e72cdce-2517-4bd5-be85-5836273f0e31,ce4f89a6-55f7-4bc7-8abc-2dc934e30a36
7f1ae484-c6e1-424e-9e18-a91e1c345161,556af08a-22b2-464a-b2e5-ea900dcb99df
